Entry	Entry name	Status	Protein names	Gene names	Organism	Length	Gene names  (ORF )	Gene names  (primary )	Gene names  (ordered locus )	Gene names  (synonym )
P39981	AVT2_YEAST	reviewed	Vacuolar amino acid transporter 2	AVT2 YEL064C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	480		AVT2	YEL064C	
P53286	BTN2_YEAST	reviewed	Protein BTN2 (Batten disease protein 2)	BTN2 YGR142W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	410		BTN2	YGR142W	
P17106	CBF1_YEAST	reviewed	Centromere-binding protein 1 (CBP-1) (Centromere promoter factor 1) (Centromere-binding factor 1)	CBF1 CEP1 CP1 CPF1 YJR060W J1730	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	351	J1730	CBF1	YJR060W	CEP1 CP1 CPF1
P39525	CEM1_YEAST	reviewed	3-oxoacyl-[acyl-carrier-protein] synthase homolog (EC 2.3.1.41) (Beta-ketoacyl-ACP synthase homolog)	CEM1 YER061C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	442		CEM1	YER061C	
P29029	CHIT_YEAST	reviewed	Endochitinase (EC 3.2.1.14) (Soluble cell wall protein 2)	CTS1 SCW2 YLR286C L8003.13	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	562	L8003.13	CTS1	YLR286C	SCW2
P38313	CENPU_YEAST	reviewed	Inner kinetochore subunit AME1 (Associated with microtubules and essential protein 1) (CENP-U homolog) (Constitutive centromere-associated network protein AME1)	AME1 ARP100 YBR211C YBR1458	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	324	YBR1458	AME1	YBR211C	ARP100
P32458	CDC11_YEAST	reviewed	Cell division control protein 11	CDC11 PSL9 YJR076C J1833	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	415	J1833	CDC11	YJR076C	PSL9
P07834	CDC4_YEAST	reviewed	Cell division control protein 4 (E3 ubiquitin ligase complex SCF subunit CDC4) (F-box protein CDC4)	CDC4 YFL009W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	779		CDC4	YFL009W	
P47167	CENPK_YEAST	reviewed	Inner kinetochore subunit MCM22 (CENP-K homolog) (Constitutive centromere-associated network protein MCM22) (Minichromosome maintenance protein 22)	MCM22 YJR135C J2122	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	239	J2122	MCM22	YJR135C	
P40452	COA1_YEAST	reviewed	Cytochrome c oxidase assembly factor 1	COA1 FMP35 YIL157C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	197		COA1	YIL157C	FMP35
P47130	CSN12_YEAST	reviewed	Cop9 signalosome complex subunit 12	CSN12 YJR084W J1860	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	423	J1860	CSN12	YJR084W	
Q01519	COX12_YEAST	reviewed	Cytochrome c oxidase subunit 12, mitochondrial (Cytochrome c oxidase polypeptide VIb)	COX12 YLR038C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	83		COX12	YLR038C	
P47050	CUL8_YEAST	reviewed	Cullin-8 (Cullin-C) (Regulator of Ty1 transposition protein 101)	RTT101 CUL8 YJL047C J1166	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	842	J1166	RTT101	YJL047C	CUL8
P38909	CYC2_YEAST	reviewed	Cytochrome c mitochondrial import factor CYC2 (EC 1.-.-.-) (Cytochrome c assembly flavoprotein CYC2)	CYC2 YOR037W OR26.30	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	366	OR26.30	CYC2	YOR037W	
Q12046	CWC2_YEAST	reviewed	Pre-mRNA-splicing factor CWC2 (Complexed with CEF1 protein 2) (PRP19-associated complex protein 40) (Synthetic lethal with CLF1 protein 3)	CWC2 NTC40 SLC3 YDL209C D1041	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	339	D1041	CWC2	YDL209C	NTC40 SLC3
P47977	CTH2_YEAST	reviewed	mRNA decay factor CTH2 (Cysteine-three-histidine protein 2) (Protein TIS11 homolog) (Protein YTIS11) (TPA-induced sequence protein 11)	TIS11 CTH2 YLR136C L3143 L9606.12	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	285	L3143 L9606.12	TIS11	YLR136C	CTH2
Q01802	AATM_YEAST	reviewed	Aspartate aminotransferase, mitochondrial (EC 2.6.1.1) (Transaminase A)	AAT1 YKL106W YKL461	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	451	YKL461	AAT1	YKL106W	
Q05955	ADY4_YEAST	reviewed	Accumulates dyads protein 4	ADY4 YLR227C L8083.11	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	493	L8083.11	ADY4	YLR227C	
P53722	ATP23_YEAST	reviewed	Mitochondrial inner membrane protease ATP23 (EC 3.4.24.-)	ATP23 YNR020C N3212	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	227	N3212	ATP23	YNR020C	
P39969	BOI2_YEAST	reviewed	Protein BOI2 (Protein BEB1)	BOI2 BEB1 YER114C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	1040		BOI2	YER114C	BEB1
Q08754	BUD7_YEAST	reviewed	Bud site selection protein 7	BUD7 YOR299W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	746		BUD7	YOR299W	
P39713	BDH2_YEAST	reviewed	Probable diacetyl reductase [(R)-acetoin forming] 2 (EC 1.1.1.303)	BDH2 YAL061W FUN50	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	417	FUN50	BDH2	YAL061W	
P38356	BSD2_YEAST	reviewed	Metal homeostatis protein BSD2 (Bypass SOD defects protein 2)	BSD2 YBR290W YBR2037	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	321	YBR2037	BSD2	YBR290W	
P40969	CBF3B_YEAST	reviewed	Centromere DNA-binding protein complex CBF3 subunit B (Centromere protein 3)	CEP3 CBF3 CBF3B CSL1 YMR168C YM8520.17C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	608	YM8520.17C	CEP3	YMR168C	CBF3 CBF3B CSL1
P06182	CCHL_YEAST	reviewed	Cytochrome c heme lyase (CCHL) (EC 4.4.1.17) (Holocytochrome-c synthase)	CYC3 YAL039C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	269		CYC3	YAL039C	
P27825	CALX_YEAST	reviewed	Calnexin homolog	CNE1 YAL058W FUN48	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	502	FUN48	CNE1	YAL058W	
P53959	COG6_YEAST	reviewed	Conserved oligomeric Golgi complex subunit 6 (COG complex subunit 6) (Complexed with DOR1 protein 2) (Component of oligomeric Golgi complex 6) (Protein SEC37)	COG6 COD2 SEC37 TFI2 YNL041C N2675	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	839	N2675	COG6	YNL041C	COD2 SEC37 TFI2
P53053	COS12_YEAST	reviewed	Protein COS12	COS12 YGL263W NRC380	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	380	NRC380	COS12	YGL263W	
Q12248	DAD1_YEAST	reviewed	DASH complex subunit DAD1 (DUO1 and DAM1-interacting protein 1) (Outer kinetochore protein DAD1)	DAD1 YDR016C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	94		DAD1	YDR016C	
P21705	DAL82_YEAST	reviewed	Protein DAL82	DAL82 DURM YNL314W N0360	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	255	N0360	DAL82	YNL314W	DURM
Q02804	ARL3_YEAST	reviewed	ADP-ribosylation factor-like protein 3 (Arf-like GTPase 3)	ARL3 ARP1 YPL051W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	198		ARL3	YPL051W	ARP1
Q12406	ARP7_YEAST	reviewed	Actin-related protein 7 (Actin-like protein ARP7) (Chromatin structure-remodeling complex protein ARP7) (SWI/SNF complex component ARP7)	ARP7 SWP61 YPR034W YP9367.14	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	477	YP9367.14	ARP7	YPR034W	SWP61
P39988	BUD16_YEAST	reviewed	Putative pyridoxal kinase BUD16 (EC 2.7.1.35) (Bud site selection protein 16)	BUD16 YEL029C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	312		BUD16	YEL029C	
P06243	CDC7_YEAST	reviewed	Cell division control protein 7 (EC 2.7.11.1)	CDC7 OAF2 YDL017W D2855	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	507	D2855	CDC7	YDL017W	OAF2
P32468	CDC12_YEAST	reviewed	Cell division control protein 12 (Septin)	CDC12 CLA10 PSL7 YHR107C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	407		CDC12	YHR107C	CLA10 PSL7
D6W196	CMC1_YEAST	reviewed	Truncated non-functional calcium-binding mitochondrial carrier SAL1-1 (Suppressor of AAC2 lethality)	SAL1 YNL083W N2312	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	494	N2312	SAL1	YNL083W	
P43621	COPD_YEAST	reviewed	Coatomer subunit delta (Delta-coat protein) (Delta-COP)	RET2 YFR051C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	546		RET2	YFR051C	
P14306	CPYI_YEAST	reviewed	Carboxypeptidase Y inhibitor (CPY inhibitor) (CDC25 suppressor 1) (I(C)) (Ic) (Protein DKA1) (Protein NSP1)	TFS1 DKA1 NSP1 YLR178C L9470.19	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	219	L9470.19	TFS1	YLR178C	DKA1 NSP1
P53301	CRH1_YEAST	reviewed	Probable glycosidase CRH1 (EC 3.2.-.-) (Congo red hypersensitive protein 1)	CRH1 YGR189C G7553	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	507	G7553	CRH1	YGR189C	
P53830	CUS2_YEAST	reviewed	Cold sensitive U2 snRNA suppressor 2	CUS2 YNL286W N0549	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	285	N0549	CUS2	YNL286W	
P0CD90	AQY2_YEAST	reviewed	Aquaporin-like protein 2 (Truncated aquaporin-2)	AQY2 AQY2-2 YLL052C L0590	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	149	L0590	AQY2	YLL052C	AQY2-2
Q12028	AP1G1_YEAST	reviewed	AP-1 complex subunit gamma-1 (Clathrin assembly protein complex 1 gamma large chain) (Clathrin assembly protein large gamma chain) (Gamma-adaptin)	APL4 YPR029C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	832		APL4	YPR029C	
P38862	ATG7_YEAST	reviewed	Ubiquitin-like modifier-activating enzyme ATG7 (ATG12-activating enzyme E1 ATG7) (Autophagy-related protein 7) (Cytoplasm to vacuole targeting protein 2)	ATG7 APG7 CVT2 YHR171W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	630		ATG7	YHR171W	APG7 CVT2
P80428	ARP4_YEAST	reviewed	Actin-related protein 4 (Actin-like protein ARP4) (Actin-like protein 4)	ARP4 ACT3 YJL081C J1012	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	489	J1012	ARP4	YJL081C	ACT3
P22516	CHL1_YEAST	reviewed	ATP-dependent DNA helicase CHL1 (EC 3.6.4.12) (Chromosome loss protein 1) (Chromosome transmission fidelity protein 1)	CHL1 CTF1 YPL008W YP8132.05	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	861	YP8132.05	CHL1	YPL008W	CTF1
P36012	CENPA_YEAST	reviewed	Histone H3-like centromeric protein CSE4 (CENP-A homolog) (Chromosome segregation protein 4)	CSE4 CSL2 YKL049C YKL262	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	229	YKL262	CSE4	YKL049C	CSL2
P04821	CDC25_YEAST	reviewed	Cell division control protein 25	CDC25 CTN1 YLR310C L2142.6	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	1589	L2142.6	CDC25	YLR310C	CTN1
P53188	CGR1_YEAST	reviewed	rRNA-processing protein CGR1 (Coiled-coil growth-regulated protein 1)	CGR1 YGL029W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	120		CGR1	YGL029W	
P06704	CDC31_YEAST	reviewed	Cell division control protein 31 (Nuclear pore protein CDC31) (Nucleoporin CDC31)	CDC31 DSK1 YOR257W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	161		CDC31	YOR257W	DSK1
P14724	CDC26_YEAST	reviewed	Anaphase-promoting complex subunit CDC26 (Cell division control protein 26)	CDC26 HIT3 SCD26 YFR036W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	124		CDC26	YFR036W	HIT3 SCD26
Q08032	CDC45_YEAST	reviewed	Cell division control protein 45	CDC45 SLD4 YLR103C L8004.11	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	650	L8004.11	CDC45	YLR103C	SLD4
Q12453	CEX1_YEAST	reviewed	Cytoplasmic export protein 1	CEX1 YOR112W O3240 YOR3240w	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	761	O3240 YOR3240w	CEX1	YOR112W	
P40558	CFD1_YEAST	reviewed	Cytosolic Fe-S cluster assembly factor CFD1 (Cytosolic Fe-S cluster-deficient protein 1) (Ribosomal export protein 19)	CFD1 DRE3 RIX19 YIL003W YIA3W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	293	YIA3W	CFD1	YIL003W	DRE3 RIX19
Q06538	CSC1_YEAST	reviewed	Calcium permeable stress-gated cation channel 1 (ScCSC1)	CSC1 YLR241W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	782		CSC1	YLR241W	
P25651	CSM1_YEAST	reviewed	Monopolin complex subunit CSM1 (Chromosome segregation in meiosis protein 1)	CSM1 SPO86 YCR086W YCR86W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	190	YCR86W	CSM1	YCR086W	SPO86
Q12289	CRC1_YEAST	reviewed	Mitochondrial carnitine carrier	CRC1 YOR100C YOR3193C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	327	YOR3193C	CRC1	YOR100C	
P00044	CYC1_YEAST	reviewed	Cytochrome c isoform 1 (Iso-1-cytochrome c) (Cytochrome c aerobic isoform)	CYC1 YJR048W J1653	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	109	J1653	CYC1	YJR048W	
P11076	ARF1_YEAST	reviewed	ADP-ribosylation factor 1	ARF1 YDL192W D1244	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	181	D1244	ARF1	YDL192W	
P0CZ17	ASP21_YEAST	reviewed	L-asparaginase 2-1 (EC 3.5.1.1) (L-asparaginase II) (L-asparagine amidohydrolase II) (ASP II)	ASP3-1 YLR155C L9632.6	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	362	L9632.6	ASP3-1	YLR155C	
P35817	BDF1_YEAST	reviewed	Bromodomain-containing factor 1	BDF1 YLR399C L8084.18	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	686	L8084.18	BDF1	YLR399C	
P20438	CG12_YEAST	reviewed	G1/S-specific cyclin CLN2	CLN2 YPL256C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	545		CLN2	YPL256C	
Q05583	CIAO1_YEAST	reviewed	Cytosolic iron-sulfur protein assembly protein 1	CIA1 YDR267C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	330		CIA1	YDR267C	
Q05791	CD123_YEAST	reviewed	Cell division cycle protein 123	CDC123 YLR215C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	360		CDC123	YLR215C	
P00546	CDK1_YEAST	reviewed	Cyclin-dependent kinase 1 (CDK1) (EC 2.7.11.22) (Cell division control protein 28) (Cell division protein kinase 1)	CDC28 CDK1 HSL5 SRM5 YBR160W YBR1211	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	298	YBR1211	CDC28	YBR160W	CDK1 HSL5 SRM5
P20486	CKS1_YEAST	reviewed	Cyclin-dependent kinases regulatory subunit (Cell division control protein CKS1)	CKS1 YBR135W YBR1011	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	150	YBR1011	CKS1	YBR135W	
Q03981	CSN9_YEAST	reviewed	COP9 signalosome complex subunit 9	CSN9 YDR179C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	162		CSN9	YDR179C	
P40465	CSM2_YEAST	reviewed	Chromosome segregation in meiosis protein 2	CSM2 YIL132C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	213		CSM2	YIL132C	
Q12734	CSR2_YEAST	reviewed	Transcription factor CSR2 (CHS5 SPA2 rescue protein 2)	CSR2 MRG19 YPR030W YP9367.10	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	1121	YP9367.10	CSR2	YPR030W	MRG19
P53271	COG2_YEAST	reviewed	Conserved oligomeric Golgi complex subunit 2 (COG complex subunit 2) (Component of oligomeric Golgi complex 2) (Protein SEC35)	COG2 SEC35 YGR120C G6324	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	262	G6324	COG2	YGR120C	SEC35
P69851	DAD4_YEAST	reviewed	DASH complex subunit DAD4 (DUO1 and DAM1-interacting protein 4) (Helper of ASK1 protein 2) (Outer kinetochore protein DAD4)	DAD4 HSK2 YDR320C-A	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	72		DAD4	YDR320C-A	HSK2
P43497	CWP2_YEAST	reviewed	Cell wall protein CWP2 (Low pH resistance protein 1)	CWP2 LPR1 YKL096W-A YKL096BW YKL444	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	92	YKL096BW YKL444	CWP2	YKL096W-A	LPR1
P53333	CWC22_YEAST	reviewed	Pre-mRNA-splicing factor CWC22 (Complexed with CEF1 protein 22)	CWC22 YGR278W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	577		CWC22	YGR278W	
P38115	ARA1_YEAST	reviewed	D-arabinose dehydrogenase [NAD(P)+] heavy chain (EC 1.1.1.117) (AKR3C)	ARA1 YBR149W YBR1127	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	344	YBR1127	ARA1	YBR149W	
P27351	AP2B_YEAST	reviewed	AP-2 complex subunit beta (Beta-2-adaptin) (Beta-adaptin) (Clathrin assembly protein complex 2 beta large chain) (Clathrin assembly protein large beta chain)	APL1 YAP80 YJR005W J1422	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	700	J1422	APL1	YJR005W	YAP80
P43583	BLM10_YEAST	reviewed	Proteasome activator BLM10 (Bleomycin resistance protein BLM10)	BLM10 BLM3 YFL007W YFL006W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	2143	YFL006W	BLM10	YFL007W	BLM3
Q12186	BBP_YEAST	reviewed	Branchpoint-bridging protein (Mud synthetic-lethal 5 protein) (Splicing factor 1) (Zinc finger protein BBP)	MSL5 BBP SF1 YLR116W L2949	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	476	L2949	MSL5	YLR116W	BBP SF1
P14066	CBS1_YEAST	reviewed	Cytochrome b translational activator protein CBS1, mitochondrial (COB-specific translational activator protein CBS1)	CBS1 YDL069C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	229		CBS1	YDL069C	
Q06350	CHI2_YEAST	reviewed	Sporulation-specific chitinase 2 (EC 3.2.1.14)	CTS2 YDR371W D9481.7	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	511	D9481.7	CTS2	YDR371W	
Q12114	CHS5_YEAST	reviewed	Chitin biosynthesis protein CHS5 (Protein CAL3)	CHS5 CAL3 YLR330W L8543.18	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	671	L8543.18	CHS5	YLR330W	CAL3
P00431	CCPR_YEAST	reviewed	Cytochrome c peroxidase, mitochondrial (CCP) (EC 1.11.1.5)	CCP1 CCP CPO YKR066C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	361		CCP1	YKR066C	CCP CPO
Q07788	COS7_YEAST	reviewed	Protein COS7	COS7 YDL248W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	383		COS7	YDL248W	
P23285	CYPB_YEAST	reviewed	Peptidyl-prolyl cis-trans isomerase B (PPIase B) (EC 5.2.1.8) (Cyclophilin B) (Cyclophilin-related protein) (Rotamase B)	CPR2 CRG CYP2 SCC2 YHR057C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	205		CPR2	YHR057C	CRG CYP2 SCC2
Q07533	CYK3_YEAST	reviewed	Cytokinesis protein 3	CYK3 YDL117W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	885		CYK3	YDL117W	
Q05080	CYK2_YEAST	reviewed	Cytokinesis protein 2 (Homolog of CDC15 protein 1)	HOF1 CYK2 YMR032W YM9973.05	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	669	YM9973.05	HOF1	YMR032W	CYK2
P00163	CYB_YEAST	reviewed	Cytochrome b (EC 7.1.1.8) (Complex III subunit 3) (Complex III subunit CYTB) (Complex III subunit III) (Cytochrome b-c1 complex subunit 3) (Cytochrome b-c1 complex subunit CYTB) (Ubiquinol-cytochrome c oxidoreductase complex cytochrome b subunit)	COB CYTB Q0105	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	385		COB	Q0105	CYTB
Q12386	ARP8_YEAST	reviewed	Actin-like protein ARP8	ARP8 YOR141C YOR3348C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	881	YOR3348C	ARP8	YOR141C	
P40013	BIM1_YEAST	reviewed	Protein BIM1	BIM1 YER016W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	344		BIM1	YER016W	
P12962	CAF20_YEAST	reviewed	Cap-associated protein CAF20 (20 kDa cap-associated protein) (CCR4-associated factor 2) (p20)	CAF20 CAF2 CAP20 YOR276W O5453W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	161	O5453W	CAF20	YOR276W	CAF2 CAP20
P36076	CAB3_YEAST	reviewed	Coenzyme A biosynthesis protein 3	CAB3 YKL088W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	571		CAB3	YKL088W	
P24871	CG24_YEAST	reviewed	G2/mitotic-specific cyclin-4	CLB4 YLR210W L8167.3	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	460	L8167.3	CLB4	YLR210W	
P31384	CCR4_YEAST	reviewed	Glucose-repressible alcohol dehydrogenase transcriptional effector (EC 3.1.13.4) (Carbon catabolite repressor protein 4) (Cytoplasmic deadenylase)	CCR4 YAL021C FUN27	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	837	FUN27	CCR4	YAL021C	
P25613	ADY2_YEAST	reviewed	Accumulation of dyads protein 2 (Ammonia transport outward protein 1)	ADY2 ATO1 YCR010C YCR10C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	283	YCR10C	ADY2	YCR010C	ATO1
P53868	ALG9_YEAST	reviewed	Alpha-1,2-mannosyltransferase ALG9 (EC 2.4.1.259) (EC 2.4.1.261) (Asparagine-linked glycosylation protein 9) (Dol-P-Man:Man(6)GlcNAc(2)-PP-Dol alpha-1,2-mannosyltransferase) (Dol-P-Man:Man(8)GlcNAc(2)-PP-Dol alpha-1,2-mannosyltransferase)	ALG9 YNL219C N1295	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	555	N1295	ALG9	YNL219C	
Q3E793	BOL1_YEAST	reviewed	BolA-like protein 1	BOL1 YAL044W-A	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	110		BOL1	YAL044W-A	
P25356	BPH1_YEAST	reviewed	Beige protein homolog 1	BPH1 YCR032W YCR32W YCR591 YCR601	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	2167	YCR32W YCR591 YCR601	BPH1	YCR032W	
Q06604	BSP1_YEAST	reviewed	Protein BSP1 (Binding of synaptojanin polyphosphoinositide phosphatase domain protein 1)	BSP1 YPR171W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	576		BSP1	YPR171W	
Q05611	BSC2_YEAST	reviewed	Bypass of stop codon protein 2	BSC2 YDR275W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	235		BSC2	YDR275W	
P53934	CARME_YEAST	reviewed	Carnosine N-methyltransferase (EC 2.1.1.22)	YNL092W N2227	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	400	N2227		YNL092W	
P43618	CENPT_YEAST	reviewed	Inner kinetochore subunit CNN1 (CENP-T homolog) (Co-purified with NNF1 protein 1) (Constitutive centromere-associated network protein CNN1)	CNN1 YFR046C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	361		CNN1	YFR046C	
P32656	CHAC_YEAST	reviewed	Glutathione-specific gamma-glutamylcyclotransferase (Gamma-GCG) (EC 4.3.2.7)	GCG1 YER163C SYGP-ORF3	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	232	SYGP-ORF3	GCG1	YER163C	
P00890	CISY1_YEAST	reviewed	Citrate synthase, mitochondrial (EC 2.3.3.1)	CIT1 GLU3 LYS6 YNR001C N2019	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	479	N2019	CIT1	YNR001C	GLU3 LYS6
P04039	COX8_YEAST	reviewed	Cytochrome c oxidase subunit 8, mitochondrial (Cytochrome c oxidase polypeptide VIII)	COX8 YLR395C L8084.14	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	78	L8084.14	COX8	YLR395C	
P10127	ADH4_YEAST	reviewed	Alcohol dehydrogenase 4 (EC 1.1.1.1) (Alcohol dehydrogenase IV) (ADHIV)	ADH4 ZRG5 YGL256W NRC465	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	382	NRC465	ADH4	YGL256W	ZRG5
P0CD91	AQY1_YEAST	reviewed	Aquaporin-1	AQY1 AQY1-2 YPR192W P9677.5	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	305	P9677.5	AQY1	YPR192W	AQY1-2
Q12092	ATG29_YEAST	reviewed	Autophagy-related protein 29	ATG29 YPL166W P2540	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	213	P2540	ATG29	YPL166W	
